"filename", "language", "C#", "XML", "JSON", "comment", "blank", "total"
"d:\github\pecus-aspire\pecus.DbManager\AppHost.cs", "C#", 40, 0, 0, 8, 12, 60
"d:\github\pecus-aspire\pecus.DbManager\DbInitializer.cs", "C#", 64, 0, 0, 3, 13, 80
"d:\github\pecus-aspire\pecus.DbManager\DbInitializerHealthCheck.cs", "C#", 25, 0, 0, 3, 4, 32
"d:\github\pecus-aspire\pecus.DbManager\Migrations\20250127000000_AddPasswordResetTokenAndIsActiveToUser.cs", "C#", 39, 0, 0, 3, 7, 49
"d:\github\pecus-aspire\pecus.DbManager\Migrations\20251025065952_InitialCreate.Designer.cs", "C#", 368, 0, 0, 2, 136, 506
"d:\github\pecus-aspire\pecus.DbManager\Migrations\20251025065952_InitialCreate.cs", "C#", 319, 0, 0, 3, 36, 358
"d:\github\pecus-aspire\pecus.DbManager\Migrations\20251025082729_RemoveInvitedByUserIdFromWorkspaceUser.Designer.cs", "C#", 366, 0, 0, 2, 135, 503
"d:\github\pecus-aspire\pecus.DbManager\Migrations\20251025082729_RemoveInvitedByUserIdFromWorkspaceUser.cs", "C#", 22, 0, 0, 3, 4, 29
"d:\github\pecus-aspire\pecus.DbManager\Migrations\20251025090329_AddWorkspaceItem.Designer.cs", "C#", 447, 0, 0, 2, 169, 618
"d:\github\pecus-aspire\pecus.DbManager\Migrations\20251025090329_AddWorkspaceItem.cs", "C#", 98, 0, 0, 3, 12, 113
"d:\github\pecus-aspire\pecus.DbManager\Migrations\20251025110454_AddTagAndWorkspaceItemTag.Designer.cs", "C#", 531, 0, 0, 2, 201, 734
"d:\github\pecus-aspire\pecus.DbManager\Migrations\20251025110454_AddTagAndWorkspaceItemTag.cs", "C#", 95, 0, 0, 3, 10, 108
"d:\github\pecus-aspire\pecus.DbManager\Migrations\20251025122949_AddWorkspaceItemPin.Designer.cs", "C#", 561, 0, 0, 2, 214, 777
"d:\github\pecus-aspire\pecus.DbManager\Migrations\20251025122949_AddWorkspaceItemPin.cs", "C#", 48, 0, 0, 3, 6, 57
"d:\github\pecus-aspire\pecus.DbManager\Migrations\20251025131548_AddWorkspaceItemAttachment.Designer.cs", "C#", 619, 0, 0, 2, 236, 857
"d:\github\pecus-aspire\pecus.DbManager\Migrations\20251025131548_AddWorkspaceItemAttachment.cs", "C#", 62, 0, 0, 3, 7, 72
"d:\github\pecus-aspire\pecus.DbManager\Migrations\20251026020112_AddWorkspaceItemRelation.Designer.cs", "C#", 677, 0, 0, 2, 258, 937
"d:\github\pecus-aspire\pecus.DbManager\Migrations\20251026020112_AddWorkspaceItemRelation.cs", "C#", 73, 0, 0, 3, 9, 85
"d:\github\pecus-aspire\pecus.DbManager\Migrations\20251026074049_AddSkillAndUserSkill.Designer.cs", "C#", 768, 0, 0, 2, 296, 1066
"d:\github\pecus-aspire\pecus.DbManager\Migrations\20251026074049_AddSkillAndUserSkill.cs", "C#", 111, 0, 0, 3, 12, 126
"d:\github\pecus-aspire\pecus.DbManager\Migrations\20251028034212_PendingModelChanges.Designer.cs", "C#", 772, 0, 0, 2, 298, 1072
"d:\github\pecus-aspire\pecus.DbManager\Migrations\20251028034212_PendingModelChanges.cs", "C#", 68, 0, 0, 3, 10, 81
"d:\github\pecus-aspire\pecus.DbManager\Migrations\20251031024919_AddIsActiveToWorkspaceItem.Designer.cs", "C#", 776, 0, 0, 2, 300, 1078
"d:\github\pecus-aspire\pecus.DbManager\Migrations\20251031024919_AddIsActiveToWorkspaceItem.cs", "C#", 31, 0, 0, 3, 6, 40
"d:\github\pecus-aspire\pecus.DbManager\Migrations\20251031044638_AddIsActiveToSkill.Designer.cs", "C#", 778, 0, 0, 2, 301, 1081
"d:\github\pecus-aspire\pecus.DbManager\Migrations\20251031044638_AddIsActiveToSkill.cs", "C#", 23, 0, 0, 3, 4, 30
"d:\github\pecus-aspire\pecus.DbManager\Migrations\ApplicationDbContextModelSnapshot.cs", "C#", 776, 0, 0, 1, 301, 1078
"d:\github\pecus-aspire\pecus.DbManager\Properties\launchSettings.json", "JSON", 0, 0, 23, 0, 1, 24
"d:\github\pecus-aspire\pecus.DbManager\appsettings.Development.json", "JSON", 0, 0, 20, 0, 1, 21
"d:\github\pecus-aspire\pecus.DbManager\appsettings.json", "JSON", 0, 0, 10, 0, 1, 11
"d:\github\pecus-aspire\pecus.DbManager\pecus.DbManager.csproj", "XML", 0, 22, 0, 0, 5, 27
"Total", "-", 8557, 22, 53, 73, 3005, 11710